iter	RMSE
0	3.713433766
1	3.603315211
2	3.508844433
3	3.412193381
4	3.321259487
5	3.246922442
6	3.166705133
7	3.098313958
8	3.036450243
9	2.976189898
10	2.920609404
11	2.870101779
12	2.820437412
13	2.776526742
14	2.731946508
15	2.692076161
16	2.655125347
17	2.622746594
18	2.593023529
19	2.563287472
20	2.534199722
21	2.507225424
22	2.484772822
23	2.460927069
24	2.441740307
25	2.422632732
26	2.401822577
27	2.383251308
28	2.365754433
29	2.347489565
30	2.330501846
31	2.314138718
32	2.301044784
33	2.286643756
34	2.273919761
35	2.262218134
36	2.248883271
37	2.236159218
38	2.223912958
39	2.212570196
40	2.202047762
41	2.192856603
42	2.183295135
43	2.175270536
44	2.165928125
45	2.153560817
46	2.143498475
47	2.135808933
48	2.12663958
49	2.117164421
50	2.109326587
51	2.100661789
52	2.091778781
53	2.084546673
54	2.077581526
55	2.06992681
56	2.062696411
57	2.057542697
58	2.04879137
59	2.044949726
60	2.038663172
61	2.030591903
62	2.024298222
63	2.018624257
64	2.012539723
65	2.007088891
66	2.000905875
67	1.99468999
68	1.989048661
69	1.981811655
70	1.976510954
71	1.970403577
72	1.967087881
73	1.962171899
74	1.956418209
75	1.950337017
76	1.946864025
77	1.94204507
78	1.936729125
79	1.933875306
80	1.929638776
81	1.926322383
82	1.921382168
83	1.916258423
84	1.911703461
85	1.906721149
86	1.902696038
87	1.899892606
88	1.895018394
89	1.891828349
90	1.887901512
91	1.883529121
92	1.880913818
93	1.877705311
94	1.874691719
95	1.870935217
96	1.867023496
97	1.863445477
98	1.860841617
99	1.856778654
100	1.852567679
101	1.849910757
102	1.846790429
103	1.844356685
104	1.841602095
105	1.839724209
106	1.837987145
107	1.835738529
108	1.832885588
109	1.828172805
110	1.824823857
111	1.822772329
112	1.820186432
113	1.817939773
114	1.816755231
115	1.815487907
116	1.813959764
117	1.811892995
118	1.808601388
119	1.806920317
120	1.805602431
121	1.804452789
122	1.804092211
123	1.799146374
124	1.795730001
125	1.793030204
126	1.791397817
127	1.788079897
128	1.786268592
129	1.784912512
130	1.782689876
131	1.781606227
132	1.780088662
133	1.776331407
134	1.773215492
135	1.77041784
136	1.766538335
137	1.765397028
138	1.763635148
139	1.76167803
140	1.758567785
141	1.757205393
142	1.75580398
143	1.752184305
144	1.749289317
145	1.746330344
146	1.743071658
147	1.739960401
148	1.737901998
149	1.736487781
150	1.735547036
151	1.734204377
152	1.731545387
153	1.729725477
154	1.72810096
155	1.727177012
156	1.726256497
157	1.722868039
158	1.721231191
159	1.719224152
160	1.718583446
161	1.715990626
162	1.715119441
163	1.712344211
164	1.711508858
165	1.708435808
166	1.707232097
167	1.706724899
168	1.704298946
169	1.703570063
170	1.699876231
171	1.698760133
172	1.696666459
173	1.695385039
174	1.695020798
175	1.694689066
176	1.69286853
177	1.691936043
178	1.689892294
179	1.687676772
180	1.687488222
181	1.686529308
182	1.684752864
183	1.684025071
184	1.682053444
185	1.681468204
186	1.679993788
187	1.679430701
188	1.67831723
189	1.677033898
190	1.675204392
191	1.67352911
192	1.672525714
193	1.671584644
194	1.670843314
195	1.670386905
196	1.6680497
197	1.66783806
198	1.666338733
199	1.665391771
200	1.66456987
201	1.664067146
202	1.662708509
203	1.661466795
204	1.660927317
205	1.659286638
206	1.658510748
207	1.658233654
208	1.658004899
209	1.656480345
210	1.654694184
211	1.652504489
212	1.651958543
213	1.649691613
214	1.649272103
215	1.648721992
216	1.647338835
217	1.646813306
218	1.646646402
219	1.645408658
220	1.64507801
221	1.644694447
222	1.644610882
223	1.644093716
224	1.643719971
225	1.643131338
226	1.641295235
227	1.640916682
228	1.64055943
229	1.640392529
230	1.640142222
231	1.63777135
232	1.636821409
233	1.6361713
234	1.63457814
235	1.633299867
236	1.632438272
237	1.632133015
238	1.631710337
239	1.631546182
240	1.63118313
241	1.630027983
242	1.628608765
243	1.627079526
244	1.6266255
245	1.62634177
246	1.625269898
247	1.624852834
248	1.624135914
249	1.624003441
250	1.623343987
251	1.623214298
252	1.622911447
253	1.622773118
254	1.622651403
255	1.621848353
256	1.621697938
257	1.621284292
258	1.620165291
259	1.619653567
260	1.618465395
261	1.617313056
262	1.617215224
263	1.615234133
264	1.614704522
265	1.614465327
266	1.613795155
267	1.611216804
268	1.610745102
269	1.610539803
270	1.608692199
271	1.607629028
272	1.60667319
273	1.606553583
274	1.606307271
275	1.606200392
276	1.605035831
277	1.604818879
278	1.604102865
279	1.60359918
280	1.60293448
281	1.601772956
282	1.601144438
283	1.599346402
284	1.598937489
285	1.598532929
286	1.598154156
287	1.598024757
288	1.597558504
289	1.597378829
290	1.597235502
291	1.596003371
292	1.59512005
293	1.594842146
294	1.593963409
295	1.593406296
296	1.592430219
297	1.59024135
298	1.590173395
299	1.589964691
300	1.588700453
301	1.587499911
302	1.58743712
303	1.587154551
304	1.586185662
305	1.586050061
306	1.58507766
307	1.583757224
308	1.582913603
309	1.582405699
310	1.581751854
311	1.57975788
312	1.578755234
313	1.576994268
314	1.576917713
315	1.576443076
316	1.576289683
317	1.57590508
318	1.575438427
319	1.575158683
320	1.574572409
321	1.574297813
322	1.573636167
323	1.573320361
324	1.572664068
325	1.572548017
326	1.572222562
327	1.572129418
328	1.571967722
329	1.571582392
330	1.571472396
331	1.571417054
332	1.571224846
333	1.571065809
334	1.570975824
335	1.570733447
336	1.569911403
337	1.56946078
338	1.569434838
339	1.569207366
340	1.568861964
341	1.568753364
342	1.568620226
343	1.568569343
344	1.568183807
345	1.567753491
346	1.566051962
